"specimen","speedBL","alpha"
"6BL","se","11.0865778138128"
"6BL","se","10.9670694299901"
"6BL","se","10.8857215987908"
"6BL","se","10.987382310896"
"6BL","se","11.0177526458592"
"6BL","se","11.15465716792"
"6BL","se","11.2075565576583"
"6BL","se","11.3823542280829"
"6BL","se","11.5605629203997"
"6BL","se","11.8864433415588"
"6BL","se","12.0436393882276"
"6BL","se","12.1680448432745"
"6BL","se","12.4080684480044"
"6BL","se","12.6916865521945"
"6BL","se","12.8571453140619"
"6BL","se","12.9865398413188"
"6BL","se","13.1230467509759"
"6BL","se","13.1880474674655"
"1.25BL","se","37.6811068056903"
"1.25BL","se","37.7317300531939"
"1.25BL","se","37.8480874507033"
"1.25BL","se","38.0800715039053"
"1.25BL","se","38.4173482496748"
"1.25BL","se","38.5100691542396"
"1.25BL","se","38.6178497057002"
"1.25BL","se","38.7855543514666"
"1.25BL","se","38.9006628259773"
"1.25BL","se","39.0132258628512"
"1.25BL","se","39.1066806488479"
"1.25BL","se","39.0676253609247"
"1.25BL","se","39.0710500714372"
"1.25BL","se","39.0700189096876"
"1.25BL","se","38.9166814714172"
"1.25BL","se","38.8329480717133"
"1.25BL","se","38.84321044131"
"1.25BL","se","38.8859479346757"
"1.25BL","se","38.8469285519527"
"1.25BL","se","38.8526405087254"
"1.25BL","se","38.8646516507588"
"1.25BL","se","38.8631089092928"
"1.25BL","se","38.8783163950063"
"1.25BL","se","38.6912681578116"
"1.25BL","se","38.5982993017994"
"1.25BL","se","38.6019973112337"
"1.25BL","se","38.4878506082318"
"1.25BL","se","38.6653112321797"
"1.25BL","se","38.7955873246314"
"1.25BL","se","38.896049797468"
"1.25BL","se","39.1388430364593"
"1.25BL","se","39.2871224924783"
"1.25BL","se","39.5035173756946"
"1.25BL","se","39.7124335718816"
"1.25BL","se","39.9906746113307"
"1.25BL","se","40.0465844716024"
"1.25BL","se","40.1550458859525"
"1.25BL","se","40.2433469306388"
"1.25BL","se","40.1210571354332"
"1.25BL","se","40.2276248851635"
"1.25BL","se","40.2046961752711"
"1.25BL","se","40.1718055643935"
"1.25BL","se","40.2312011027098"
"1.25BL","se","40.1078661713351"
"1.25BL","se","40.0442120888011"
"1.25BL","se","39.7971360546479"
"1.5BL","se","39.7984368540732"
"1.5BL","se","40.0095406263924"
"1.5BL","se","40.232560640405"
"1.5BL","se","40.3540972210801"
"1.5BL","se","40.5240198216779"
"1.5BL","se","40.8393473235458"
"1.5BL","se","41.0635431925666"
"1.5BL","se","41.2487289925247"
"1.5BL","se","41.5025492314564"
"1.5BL","se","41.6897243383348"
"1.5BL","se","41.9914083513485"
"1.5BL","se","42.353365483921"
"1.5BL","se","42.6451135918574"
"1.5BL","se","42.8746264598769"
"1.5BL","se","42.8443954586941"
"1.5BL","se","42.9008097783557"
"1.5BL","se","42.9803456492047"
"1.5BL","se","43.0241529663304"
"1.5BL","se","43.1218779331999"
"1.5BL","se","43.1673396965936"
"1.5BL","se","43.159901359701"
"1.5BL","se","43.0056706346331"
"1.5BL","se","43.1135000759671"
"1.5BL","se","43.2151365568097"
"1.5BL","se","43.1336720007901"
"1.5BL","se","43.2129706819914"
"1.5BL","se","43.2481355285316"
"1.5BL","se","43.3679473667827"
"1.5BL","se","43.3090133182977"
"1.5BL","se","43.251041173949"
"1.5BL","se","43.2148819552238"
"1.5BL","se","43.1667345246797"
"1.5BL","se","43.2065848796886"
"1.5BL","se","43.0579374794862"
"1.5BL","se","43.0712855514829"
"1.5BL","se","43.0632325148893"
"1.5BL","se","42.9972010448553"
"1.5BL","se","43.0477365831046"
"1.5BL","se","42.9183715185709"
"1.5BL","se","42.9362795322283"
"1.5BL","se","42.796768028908"
"1.5BL","se","42.7218017644616"
"1.5BL","se","42.6682367910084"
"1.5BL","se","42.6295323168626"
"1.5BL","se","42.7019652177304"
"1.5BL","se","42.7057949439694"
"1.5BL","se","42.7204039800499"
"1.5BL","se","42.5368825865238"
"1.5BL","se","42.6422736224467"
"1.5BL","se","42.6833683629871"
"1.5BL","se","42.7432554236774"
"1.5BL","se","42.8073686485922"
"1.5BL","se","42.8415831694141"
"1BL","se","23.3607531692483"
"1BL","se","22.7522136661187"
"1BL","se","22.1295077943255"
"1BL","se","21.6343075659432"
"1BL","se","21.0353925345939"
"1BL","se","20.5931164755838"
"1BL","se","20.2330301308713"
"1BL","se","19.8182852146133"
"1BL","se","19.5582286951445"
"1BL","se","19.3809613848191"
"1BL","se","19.1564161330765"
"1BL","se","18.8996093407107"
"1BL","se","18.7524857578563"
"1BL","se","18.65851719313"
"1BL","se","18.6167943414207"
"1BL","se","18.5415017868837"
"1BL","se","18.4603013185169"
"1BL","se","18.5047304645868"
"1BL","se","18.6385221493521"
"1BL","se","18.9155542942888"
"1BL","se","19.0202500871659"
"1BL","se","19.2249195778397"
"1BL","se","19.580375174398"
