"specimen","speedBL","angle_attack"
"2BL","se","37.2549711151308"
"2BL","se","36.2514926817781"
"2BL","se","34.6688602046681"
"2BL","se","33.8138049301532"
"2BL","se","33.6442094006264"
"2BL","se","34.513947333034"
"2BL","se","34.4164329332598"
"2BL","se","34.5430741549836"
"2BL","se","34.7714553072173"
"2BL","se","34.7216883210461"
"2BL","se","35.0360148222498"
"2BL","se","35.1619709136851"
"2BL","se","35.9357071496218"
"2BL","se","36.4077730606253"
"2BL","se","36.8541250574104"
"2BL","se","36.7855868350176"
"3BL","se","38.768507437389"
"3BL","se","38.6582650354019"
"3BL","se","38.9239512710102"
"3BL","se","39.1899959510487"
"3BL","se","39.2722736361446"
"3BL","se","40.415604353763"
"3BL","se","40.8034721932177"
"3BL","se","40.7366776577287"
"3BL","se","41.9409912780946"
"3BL","se","42.2771900972122"
"3BL","se","43.089448583715"
"3BL","se","42.9187399330197"
"3BL","se","42.8220898661986"
"3BL","se","43.0025327517355"
"3BL","se","43.060116461052"
"3BL","se","43.2524567071897"
"3BL","se","42.8995646474283"
"3BL","se","43.0378803109528"
"3BL","se","43.2191460071901"
"3BL","se","43.3870936694235"
"3BL","se","43.7583812859559"
"3BL","se","44.011363967132"
"3BL","se","43.3123315551126"
"3BL","se","42.8356444546657"
"3BL","se","41.8287727476326"
"3BL","se","40.5375569461189"
"3BL","se","39.3863462041212"
"3BL","se","38.6605144279088"
"3BL","se","38.4912066151524"
"3BL","se","37.7999838162668"
"3BL","se","37.2619019051315"
"3BL","se","36.829993352937"
"3BL","se","36.0190696132814"
"3BL","se","35.883583314041"
"3BL","se","34.6386619345426"
"3BL","se","34.6188153750198"
"3BL","se","33.476697619022"
"3BL","se","33.835590123188"
"3BL","se","34.2225878431727"
"3BL","se","34.1556806022796"
"3BL","se","33.7762030144501"
"3BL","se","34.0675992862628"
"3BL","se","33.5977866300234"
"4BL","se","31.0865954951981"
"4BL","se","29.6493141919256"
"4BL","se","28.994985884348"
"4BL","se","28.5313438052957"
"4BL","se","28.9445876821914"
"4BL","se","29.7379469905616"
"4BL","se","28.7490430773893"
"4BL","se","29.4408271140703"
"4BL","se","30.3304923278747"
"4BL","se","30.2504824824361"
"4BL","se","30.2878478161986"
"4BL","se","30.4788717206838"
"4BL","se","30.6878575626186"
"4BL","se","30.6201762793098"
"4BL","se","30.5606831744133"
"4BL","se","30.7875182397624"
"4BL","se","30.7394970905879"
"4BL","se","30.5648876106519"
"4BL","se","30.6570696561532"
"4BL","se","29.8495080335781"
"4BL","se","30.1228806559674"
"4BL","se","30.3054017285767"
"4BL","se","30.5083872225015"
"4BL","se","31.052959353872"
"4BL","se","31.23360551897"
"4BL","se","31.3681228949648"
