specimen,speedBL,angle_attack
catshark10,1.25,45.9766828773796
catshark10,1.25,45.0619140133803
catshark10,1.25,43.8803513122041
catshark10,1.25,42.336769675859
catshark10,1.25,41.7503870297935
catshark10,1.25,42.3412293806151
catshark10,1.25,43.9249621681564
catshark10,1.25,44.4516607025194
catshark10,1.25,44.1841567156405
catshark10,1.25,43.3462188371252
catshark10,1.25,43.0307726017312
catshark10,1.25,42.6099505562532
catshark10,1.25,42.9980666501907
catshark10,1.25,43.7391807664228
catshark10,1.25,44.194733398508
catshark10,1.25,44.5853359467021
catshark10,1.25,44.683175620548
catshark10,1.25,44.5877657058439
catshark10,1.25,44.8988976736457
catshark10,1.25,44.465982241819
catshark10,1.25,44.3616151563354
catshark10,1.25,44.5598400896555
catshark10,1.25,44.509849356273
catshark10,1.25,44.8512711448345
catshark10,1.25,45.6653394302914
catshark10,1.25,46.1432105629825
catshark10,1.25,47.2566862148744
catshark10,1.25,47.9769976867481
catshark10,1.25,48.6187695260576
catshark10,1.25,49.7521427745433
catshark10,1.25,50.6413937663675
catshark10,1.5,24.6103724895909
catshark10,1.5,25.5428862200804
catshark10,1.5,26.8928051336118
catshark10,1.5,29.1041083199373
catshark10,1.5,30.8371865670443
catshark10,1.5,33.0237647787253
catshark10,1.5,33.9702074100831
catshark10,1.5,35.6477981087122
catshark10,1.5,35.9514106669887
catshark10,1.5,36.4481658626517
catshark10,1.5,37.0244767867209
catshark10,1.5,37.6772359441365
catshark10,1.5,38.3605474642844
catshark10,1.5,39.2808933901001
catshark10,1.5,40.1249678810401
catshark10,1.5,40.8905172044018
catshark10,1.5,42.4772505381803
catshark10,1.5,43.4936913308122
catshark10,1.5,42.5554851455157
catshark10,1.5,41.8130510018973
catshark10,1.5,43.2902259139845
catshark10,1.5,42.787798491514
catshark10,1.5,43.8355278935411
catshark10,1.5,43.7245907997429
catshark10,1.5,42.533927948117
catshark10,1.5,42.347296045092
catshark10,1.5,43.4141620673967
catshark10,1.5,43.05192721819
catshark10,1.5,43.0798480354256
catshark10,1.5,43.4459568297815
catshark10,1.5,42.5103660252052
catshark10,1.5,42.5350329273486
catshark10,1.5,41.4317520252473
catshark10,1.5,40.8613705611102
catshark10,1.5,39.8102749320275
catshark10,1.5,40.0342042467139
catshark10,1.5,39.9322127583655
catshark10,1.5,39.4254421182368
catshark10,1.5,39.6847641710078
catshark10,1.5,39.970057374213
catshark10,1.5,40.4772960781203
catshark10,1.5,40.6638613214711
catshark10,1.75,50.9728494899517
catshark10,1.75,51.2328657271851
catshark10,1.75,51.6767895600783
catshark10,1.75,51.1481167937735
catshark10,1.75,50.8644773740162
catshark10,1.75,50.3716306987326
catshark10,1.75,50.7778125864148
catshark10,1.75,51.3307575830352
catshark10,1.75,52.1672273129601
catshark10,1.75,54.0720010014216
catshark10,1.75,55.3896383597206
catshark10,1.75,56.3317698931528
catshark10,1.75,57.1598805401382
catshark10,1.75,59.0286296950685
catshark10,1.75,58.5534019822335
catshark10,1.75,58.3470461888968
catshark10,1.75,58.2080469867882
catshark10,1.75,56.8938144341077
catshark10,1.75,55.5597629617444
catshark10,1.75,54.0589105736397
catshark10,1.75,52.7592049019521
catshark10,1.75,50.8679754883138
catshark10,1.75,49.7359761435689
catshark10,1.75,49.1958628247786
catshark10,1.75,47.4637746816756
catshark10,1.75,46.5710003802465
catshark10,1.75,45.7630984835501
catshark10,1.75,44.0456935393111
catshark10,1.75,43.1588313555086
catshark10,1.75,41.7086582150077
catshark10,1.75,40.1821374551294
catshark10,1.75,39.2243837610005
catshark10,1.75,38.0586410927904
catshark10,1.75,37.597593568739
catshark10,1.75,37.4983737291559
catshark10,1.75,37.0980057993971
catshark10,1.75,36.7896703620227
catshark10,1.75,37.2394832342645
catshark10,1.75,37.7113473203632
catshark10,1.75,38.5457306521377
catshark10,1.75,38.458394923141
catshark10,1.75,38.4391254421078
catshark10,1.75,39.3194107572843
catshark10,1.75,39.7577878638349
catshark10,1,40.3274057223973
catshark10,1,39.2409298515705
catshark10,1,38.7986101471849
catshark10,1,38.7137583797111
catshark10,1,38.4163228103221
catshark10,1,37.5899326389538
catshark10,1,36.7079984769627
catshark10,1,36.319913130648
catshark10,1,36.9596418222968
catshark10,1,38.4689649348287
catshark10,1,36.2695401272399
catshark10,1,35.8880486919321
catshark10,1,35.1844784136646
catshark10,1,34.481009967212
catshark10,1,33.7085413721831
catshark10,1,33.7677139193983
catshark10,1,33.1685349388005
catshark10,1,32.2572130372103
catshark10,1,31.3538499032892
catshark10,1,30.9920192227194
catshark10,1,31.0729614257165
catshark10,1,32.5496667626549
catshark10,1,34.1810256717135
catshark10,1,36.2247303808742
catshark10,1,37.7064835990499
catshark10,1,39.2289788580795
catshark10,1,40.0823666945303
catshark10,1,40.7021812800524
catshark10,1,42.918636171667
catshark10,1,44.734611397583
catshark10,1,45.3702626852846
catshark10,1,45.2446847229063
catshark10,1,46.3353557126778
catshark10,1,46.3628533927737
catshark10,1,46.6182775120393
catshark10,2,31.4689675506048
catshark10,2,31.4206874949134
catshark10,2,31.411547618339
catshark10,2,31.8092365984296
catshark10,2,32.8107010148009
catshark10,2,33.2388009126607
catshark10,2,33.5772704533667
catshark10,2,34.6435483960531
catshark10,2,35.7476309472801
catshark10,2,36.9479484038194
catshark10,2,37.542164398342
catshark10,2,38.1833240317524
catshark10,2,38.6399585591112
catshark10,2,40.2765090507353
catshark10,2,39.7633804305766
catshark10,2,40.0995895259864
catshark10,2,40.9367667250065
catshark10,2,39.9407584572643
catshark10,2,39.6626702470491
catshark10,2,39.8189651297234
catshark10,2,39.8975380627939
catshark10,2,39.0776382159865
catshark10,2,39.306318304163
catshark10,2,39.7168567373247
catshark10,2,39.7652952345747
catshark10,2,38.5056157936926
catshark10,2,38.071597320653
catshark10,2,37.2549711151308
catshark10,2,36.2514926817781
catshark10,2,34.6688602046681
catshark10,2,33.8138049301532
catshark10,2,33.6442094006264
