specimen,speedBL,max_curvature_location,max_curvature,wavespeed,TL,TBF,headAmplitude,tailAmplitude,head_to_tailAmplitude,U,Re,St,wavelength
catshark7,1.25,112,9.28784941080693,0.911842614329355,16,1.85528756957328,0.0299686717870682,0.245796087672049,0.121924934082163,0.225679189740242,36108.6703584387,0.323306673784202,0.491483169123522
catshark7,1.5,195,7.55223055706154,1.35108457507902,16,2.10970464135021,0.047066709748051,0.164836510704706,0.285535707755716,0.26382277101493,42211.6433623888,0.210903009082875,0.640414088587457
catshark7,1.75,195,10.9919540215924,1.378742655537,16,2.97619047619048,0.027688708445822,0.187377468550953,0.147769679353378,0.299609286094918,47937.485775187,0.297812418098337,0.463257532260432
catshark7,2,189,7.94458911523461,1.30450367496805,16,2.27790432801822,0.0103299205630786,0.133898704185123,0.0771472780557824,0.320810810905426,51329.7297448681,0.15211878273977,0.572677113310975
catshark7,3,191,9.26134870419785,2.14295855198602,16,3.25732899022801,0.0457765144304959,0.160309089882156,0.285551583282934,0.495583234810649,79293.3175697038,0.168586637865497,0.657888275459708
catshark7,4,189,8.00324855116061,1.83452238140638,16,3.3003300330033,0.0361325918334892,0.15183851810642,0.237967231794009,0.65418465190248,104669.544304397,0.122562880682938,0.555860281566134
catshark7,5,195,7.32627655028185,2.09716507653952,16,2.77777777777778,0.0342034465747423,0.189653793756821,0.180346756567384,0.808774167899857,129403.866863977,0.104220162251112,0.754979427554226
catshark7,6,191,8.01159988413825,2.12081037861891,16,3.95256916996047,0.0163218504009756,0.135368282233399,0.120573668600107,0.96732210305534,154771.536488854,0.0885004070112735,0.536565025790584
catshark10,0.5,192,9.09847641634568,1.42805312112578,15,2.44498777506112,0.0675483689524849,0.227664750539634,0.29670104305728,0.101281082035486,15192.162305323,0.824395120038381,0.584073726540445
catshark10,0.75,195,9.35177697586327,1.26070319016223,15,2.5062656641604,0.0390386018313624,0.20942980277565,0.186404233370655,0.137324471658624,20598.6707487937,0.573335601523354,0.503020572874732
catshark10,1,119,8.36527415911319,1.48636137531455,15,2.93255131964809,0.0280604771517994,0.135328057662108,0.207351510370908,0.153853602167769,23078.0403251654,0.386916330028148,0.506849228982262
catshark10,1.25,144,7.61053070914899,1.20211218785364,15,2.18818380743982,0.027852708398367,0.165489829325182,0.168304653596792,0.20283739052161,30425.6085782415,0.267792464614726,0.549365269849115
catshark10,1.5,195,7.54635004323172,1.10899555575439,15,2.44498777506112,0.0536151490186868,0.230694251903392,0.232407823672777,0.269675345960545,40451.3018940817,0.313735367802136,0.453579182303543
catshark10,1.75,119,9.05355814338756,1.19065511165303,15,2.34192037470726,0.0615829170591458,0.216788971315727,0.28406849612962,0.291872467064822,43780.8700597233,0.260920041915108,0.508409732675842
